"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"ITGA2",-0.25143,0.030575,0.045532,0.45838,0.053917,0.1892,0.18246,-0.083428,0.010059,-0.088128,-0.2616,0.1905,0.014863,0.04204,-0.34208,-0.012948,-0.0099946,-0.23969,-0.25956,-0.075362,-0.15942,-0.44129,0.044766,0.046413,0.084034,-0.1301,0.027214,-0.17954,-0.41644,-0.39896,-0.16426,-0.020897,-0.12979,0.9682,0.050291,-0.12694,0.11506,0.12481,-0.17581,0.41893,0.24733,0.045733,-0.43686,-0.097977,0.066218,0.09161,0.57147,-0.04008,0.35693,-0.083946,0.27913,0.17594,0.94584,-0.20327,0.073459,0.14049,0.33368,-0.55426,0.11225,-0.20762,-0.44924,0.029794,0.13044,0.29152,0.08885,-1.1863,-0.2286,-0.22935,-0.2566,-0.13587,0.040746,-0.60707,-0.23379,-0.18635,0.005307,-0.51955,-0.45979,-0.082569,0.26965,-0.12881,-0.0064657,-0.5393,0.075087,-0.29331,0.11456,-0.18514,-0.02747,-0.26761,0.53339,0.0064147,0.16649,0.47607,-0.54901,-0.16345,-0.55318,-0.26623,-0.0078135,0.16685,-0.21735,0.43055,0.18179,-0.072514,0.61062,-0.095597,-0.41355,-0.35392
"CDK1",0.050357,-0.036654,0.038131,-0.10394,-0.02978,0.12215,-0.3293,0.00011042,-0.57513,-0.77011,-0.36887,-0.14488,-0.47287,0.041427,0.15407,-0.04674,-0.248,0.18388,-0.16297,0.035874,-0.78285,-0.40815,-0.065025,-0.50404,-0.11035,-0.1716,-0.034994,-0.21032,-0.080172,-0.15829,-0.1089,-0.042118,-0.36148,0.053914,-0.29955,-0.36799,-0.45835,-0.31321,-0.020543,-0.12208,-0.22748,-0.39783,-0.29748,-0.42686,-0.25236,-0.073796,-0.12472,-0.28781,-0.026607,-0.22317,-0.083205,-0.34016,-0.36621,-0.20636,-0.15427,-0.015712,0.065949,-0.14427,-0.24536,-0.37829,-0.28161,-0.16633,-0.14681,-0.38966,-0.38396,-0.2319,-0.46425,0.1262,0.02415,-0.29901,0.30288,-0.46914,0.53458,-0.24612,-0.47135,-0.42456,-0.23319,-0.23067,-0.066828,-0.22662,-0.24643,0.25565,-0.36445,-0.41092,-0.24087,0.18247,-0.17346,-0.0071128,0.040002,-0.24913,0.17169,-0.10731,-0.2805,-0.23702,-0.013009,-0.24478,-0.16514,-0.30382,-0.11848,-0.23048,-0.035496,-0.14751,0.0025607,-0.091461,-0.024286,-0.23288
"CHEK1",-0.099696,0.42458,0.6365,-0.0080493,0.16612,0.072282,-0.15379,0.073672,0.043931,-0.11343,-0.095363,0.034153,0.0063079,0.56653,0.038679,0.18366,0.053643,0.011062,-0.031226,0.43123,-0.10544,0.073015,0.037932,-0.048947,0.59337,-0.047234,0.063222,0.57658,-0.17798,0.075491,0.077449,-0.20675,-0.086023,0.033701,0.098181,-0.15729,-0.084159,-0.090176,-0.088216,0.22725,0.21218,-0.047603,-0.065738,0.028356,0.0041958,0.037255,0.20245,-0.035815,-0.020767,-0.034846,0.0053442,0.2883,-0.026059,0.15778,-0.036357,0.24655,0.21913,-0.10634,0.084494,-0.088461,-0.1599,-0.067608,0.30606,-0.0067336,0.20376,0.40422,-0.11841,-0.098927,-0.056987,-0.09324,0.23588,-0.51786,0.015606,0.15479,-0.10101,-0.16064,-0.1667,-0.00046703,0.036093,0.09623,-0.10927,0.14374,-0.012541,-0.06768,-0.07173,0.072973,0.18511,-0.089557,-0.1531,-0.031095,0.11219,0.22363,-0.092063,0.29031,-0.097149,-0.083622,-0.033071,0.093557,0.033201,-0.3264,0.09807,0.080422,-0.012107,0.10159,0.089378,0.029772
"CHEK2",-0.42853,-0.39459,-0.90582,0.004092,-0.98589,-0.042198,-0.033878,-0.28278,-0.46885,-0.36693,-0.050728,-0.50464,-0.79589,-0.96593,0.34404,0.3765,-0.13468,-0.12427,-0.45912,-0.67557,-0.10535,-0.40003,-0.73235,0.15262,-0.79799,0.12933,0.10679,-0.26825,-0.25027,0.20153,-0.083476,0.38949,-0.88216,0.060974,-0.29051,-0.46131,-0.78125,-0.29796,0.20771,-0.63848,-0.73254,-0.070112,-0.52539,-0.59367,0.20857,-0.12204,-0.58277,-0.61357,0.13363,0.12894,-0.37285,-0.33534,-0.37051,-0.2854,-0.41588,-0.62609,-0.61858,0.5043,-0.35551,-0.13074,-0.26701,-0.14415,-0.50597,-0.62437,-0.83524,-0.020635,-0.36484,0.32117,-0.097702,-0.73176,-1.7176,-0.50571,0.1728,-0.74919,-0.53997,-0.62713,0.098792,-0.57899,-0.35053,-0.021537,0.71328,0.44513,-0.54401,-1.5529,-0.44217,0.0053141,-0.56919,0.033855,0.43522,-0.1517,0.47009,-0.8789,-0.50125,-0.76136,-0.82978,-1.3743,-0.15151,-0.81664,-0.13498,0.52257,-0.48227,0.79876,-0.58487,-0.20996,-0.83285,-0.87601
"BIRC2 ",0.076123,-0.22415,-0.45211,0.11784,-0.24771,0.22263,0.20305,-0.042124,-0.1693,0.10471,0.28124,0.3053,0.0034447,-0.4757,-0.035737,0.13559,-0.23856,0.33807,-0.052191,-0.16809,0.28593,-0.26109,-0.089655,0.68125,-0.16901,-0.049905,0.11653,0.055879,0.3494,0.14966,-0.065861,0.54028,-0.10142,-0.013002,0.25237,0.3665,0.22354,-0.13033,0.19561,-0.063244,-0.12997,0.10492,-0.042447,-0.047368,0.25686,-0.023984,-0.11344,-0.0065839,0.10964,0.25071,0.25531,-0.10749,0.0061577,-0.22158,-0.15138,-0.017775,-0.58202,-0.43005,-0.023046,-0.17411,-0.25568,0.072811,-0.33828,0.04625,-0.21474,-0.66384,-0.076968,-0.16255,0.32082,-0.37288,-0.1549,-0.51727,-0.4911,0.29216,0.17901,0.14661,0.47705,0.13169,0.17023,0.0044108,0.020317,0.16884,0.035658,0.18621,-0.29232,-0.050156,0.12228,-0.012097,0.0697,-0.08728,0.76599,-0.00072428,0.2431,-0.013581,-0.31919,0.49428,0.071021,0.025504,0.18214,0.093576,0.24097,-0.012418,-0.054058,-0.061354,-0.0056904,-0.060103
"CLDN7",0.44759,-0.48912,-0.69295,-0.19895,-1.4183,-0.36475,0.44893,-0.49119,-0.58874,0.038483,1.9933,-0.26323,0.67443,-0.55241,0.73463,0.39441,-0.0072228,0.63518,0.97077,0.0087661,1.0267,1.2196,0.16767,-0.18827,-0.047871,0.57266,0.58962,0.64396,-0.0061997,-0.38483,0.79564,0.2113,-0.27354,0.83824,0.96686,0.51848,0.075272,-0.72472,-0.54689,0.19539,-0.22299,-0.0809,0.5214,-1.6837,0.57362,-0.33441,0.30538,0.44344,0.17538,0.27933,0.18876,0.046792,0.80787,-0.35583,0.16057,0.87647,-0.32143,-1.523,-0.19801,0.052549,-0.10148,0.26745,-1.0971,0.77828,-0.60037,-0.76263,0.23486,0.07669,1.0249,-0.53859,-0.43952,-0.93308,-0.65928,-0.10991,0.68133,-0.42654,1.0722,-0.011606,0.029478,-0.76479,0.87971,0.99476,-0.17365,-0.13592,-0.15176,0.14226,-0.036543,0.84192,-0.75843,-0.36583,0.91028,-0.25946,1.0758,0.31728,-1.4148,-0.68604,-0.24566,0.7444,-0.43928,-0.081787,-0.65718,-0.041135,0.11438,-0.0007561,-0.14275,-0.8799
"COL6A1",0.54415,1.6535,2.6433,-0.064483,0.7571,-0.064874,-0.47604,0.37421,1.8005,2.2359,0.17507,0.62299,1.1905,3.4447,0.3243,0.3129,1.5435,0.41856,0.46627,1.7469,0.82604,0.83805,0.1176,0.80091,3.006,0.23465,-0.12369,0.13301,-0.20789,-0.6079,0.73874,0.3376,0.66004,0.67949,0.021583,0.69695,1.3481,1.4244,0.9659,2.4248,2.4707,2.2273,-0.025648,2.198,0.54061,0.26609,2.0637,1.2625,0.22492,0.93324,-0.2296,1.7875,1.5254,1.691,1.476,0.87343,1.9072,0.63515,1.3924,1.5404,1.4164,1.0297,2.7149,1.3806,2.8676,2.9164,0.68267,0.063175,0.71459,1.7336,0.18986,1.2472,1.3216,0.60084,0.54092,1.064,0.11344,0.32523,1.692,1.9588,0.6952,-0.41204,1.5874,0.28105,-0.14262,0.60881,2.3208,0.28025,1.3022,0.88499,-0.21993,0.070753,0.39488,-0.32363,1.1429,0.5824,0.051674,0.31037,-0.24446,0.32262,0.64208,0.024709,0.16942,0.0015951,0.09462,0.17723
"CCNB1",-0.20469,-1.3989,-1.4959,0.042443,-2.061,-0.38683,-0.68872,0.63398,-1.49,-1.213,-0.8944,-0.95557,-0.5878,-1.341,0.45408,0.17759,-0.65747,1.164,-0.090194,-0.32562,-1.0094,-0.49756,-0.62859,-1.6996,-1.5404,0.57182,-0.24878,-1.3134,0.5083,-0.2337,-1.4162,-0.58836,-0.74282,1.0569,-1.0212,-0.60944,-2.5218,-0.83494,0.86194,-1.1609,-2.0663,-1.5005,-1.3195,-2.0048,-0.15414,0.50154,-1.1333,-0.54582,0.75402,-0.50992,-0.093032,-0.45809,-1.7291,-0.98088,-0.28399,-1.3858,-0.3221,-0.20392,-1.0488,-0.94576,-1.0437,-0.24789,-1.7825,-1.4869,-1.8577,-0.48237,-1.8994,0.53302,0.58264,-0.65762,-1.3024,-2.0839,0.34275,-1.365,-1.6848,-1.8811,0.39388,-0.5244,-0.32266,-0.36982,0.11881,1.7724,-1.9131,-0.70136,-0.057362,0.11768,-1.6486,0.84463,-1.0033,-0.81573,1.1797,-1.1484,-1.0591,-1.2008,-1.8434,-2.2404,-0.77926,-1.2069,0.21963,0.40241,0.49021,0.3759,-0.16376,-0.58946,-1.2035,-2.0087
"CCND1",0.1833,0.13551,0.37783,-0.10418,0.10304,0.11592,-0.097589,-0.021103,0.36104,0.21762,-0.034553,-0.09845,0.079539,0.56775,0.17925,0.047064,0.27353,0.37122,0.18435,0.12194,-0.069148,0.16402,-0.020744,0.009667,0.33448,0.2779,0.3111,0.31204,0.17351,-0.010118,0.063674,-0.042589,-0.14912,-0.21276,-0.016595,0.33251,0.18915,0.29135,-0.19967,0.37018,0.38414,0.095923,0.1118,0.31776,-0.0078931,0.074706,0.42231,0.12064,0.50562,0.08909,0.15194,0.24316,0.14351,0.37993,0.77085,0.29344,0.38912,-0.3268,0.27679,0.097493,0.19537,0.074545,0.46979,0.17707,0.51396,0.45049,0.047003,-0.1474,0.22849,0.16103,0.32237,0.05187,0.13358,-0.048791,0.0047564,-0.13237,-0.28448,0.12369,0.47833,0.096133,0.12862,-0.20614,0.26809,0.30389,0.11986,0.30631,0.3494,0.17151,-0.048995,0.27554,-0.40462,0.31212,0.045865,0.19604,0.053137,0.16628,0.57821,0.62335,-0.1185,0.069206,0.05966,0.10757,0.36533,0.39689,0.4557,0.22062
"CCNE1",-0.38015,-0.8622,-0.93621,-0.47696,-0.97863,-0.18207,-0.82245,-0.27542,-0.60811,-0.55492,-0.89233,-0.20594,-0.77613,-0.7316,-0.50864,-0.54195,-1.0423,-0.58619,-0.78534,-0.99527,-0.89316,-0.56217,-0.45876,-0.8349,-0.72508,-0.68387,-1.033,-0.73421,-0.89513,-0.57236,-0.65508,-0.99309,-0.90444,0.42879,-0.90393,-0.79446,-0.89309,-1.1351,0.54929,-0.73088,-0.98219,-0.90957,-0.86162,-0.50453,-0.69911,-0.6898,-1.1004,-1.0655,-0.74104,-0.91895,-0.82443,-0.59304,-0.84798,-0.31697,-0.80233,-0.88082,-0.76103,0.69124,-0.76199,-0.76495,-0.94575,-0.5199,-0.80501,-0.85011,-0.62324,-0.31016,-0.96098,-0.43931,0.48676,-0.7256,-1.1238,-0.71717,-1.0093,-0.53135,-0.92297,-1.1343,-0.49166,-0.84581,-0.75266,-0.72879,-0.58091,-0.23426,-1.0112,-0.67432,-0.64217,0.72917,-0.79992,-0.34874,-0.57002,-0.83011,-0.37753,-0.6971,-1.1175,-0.90059,-0.86246,-0.94804,-0.84381,-0.8263,-0.13243,-0.83678,-0.44105,-0.50931,-0.38106,-1.0587,-0.9863,-0.89291
"PARK7",0.073422,0.33831,-0.31424,0.00068708,-0.29016,-0.30953,0.4122,-0.62582,0.80423,0.83103,0.57045,0.22373,0.32897,-0.035067,-0.32709,0.22706,0.26988,-0.5784,-0.23413,0.077969,0.36199,0.051364,-0.30893,0.79199,0.32187,0.54154,-0.61152,0.35672,-0.097037,-0.15589,-0.0064794,-0.05428,-0.10531,-0.43117,0.12049,0.18098,0.44087,0.15276,0.050136,0.22368,0.21083,0.17295,0.41731,0.057121,-0.20082,-0.1001,0.43103,0.1013,-0.33011,-0.38786,-0.17266,0.59946,0.72974,0.34397,0.29296,-0.092165,0.1427,-0.49572,0.74299,0.29999,0.37421,-0.22477,-0.074905,0.4382,0.46299,0.878,1.0126,-0.42498,-0.52882,0.24949,0.13274,0.56109,-0.072759,0.74609,0.23323,0.55874,-0.2889,0.027518,0.52781,-0.003387,-0.20031,0.035381,0.32394,0.25543,-0.12339,-0.13202,0.23829,-0.018327,0.057401,0.44575,-0.088681,-0.5419,0.33442,0.14082,0.27083,0.48347,0.2906,-0.33896,-0.0091003,0.1769,0.20061,-0.10326,-0.08679,-0.22038,0.014828,-0.090854
"DVL3",-0.31235,-0.27726,-0.62352,0.16245,0.24965,0.035157,-0.029945,0.076114,0.068122,0.32758,0.1263,-0.015701,-0.14852,-0.55822,0.08934,0.16127,0.11925,0.56697,0.32224,-0.074861,-0.12951,-0.20243,0.56765,-0.79082,-0.34404,0.30274,0.25024,0.08501,0.1395,0.75308,0.44998,0.081001,0.16177,0.022588,0.23046,0.14706,-0.066667,-0.10435,0.15911,-0.31939,-0.39978,0.022424,0.043342,-0.24219,-0.054207,0.10349,-0.39944,-0.087485,0.023799,-0.15668,0.16347,-0.15139,-0.28653,-0.23434,-0.13756,-0.22551,-0.55802,0.19141,-0.081519,-0.18641,-0.1968,-0.012455,-0.40088,0.08599,-0.41845,-0.14731,-0.12663,0.30914,0.0020661,0.10935,0.31066,0.12009,-0.12524,-0.004197,0.22953,0.14536,0.038917,0.070005,-0.47412,0.16374,0.089082,0.19287,-0.55374,0.33364,0.34448,-0.33944,-0.23002,0.22549,-0.13675,0.055661,0.47599,-0.039852,0.24217,0.12653,-0.46703,0.22772,-0.028834,-0.35425,-0.0081131,0.2643,0.49577,0.23428,0.67174,0.089434,0.50625,0.095944
"CDH1",0.13285,-2.1007,-0.71669,0.22346,-3.6302,-0.39933,0.36173,-0.68541,-0.40752,0.87467,0.81727,0.011334,0.090108,-0.59038,-0.37067,0.43764,-0.32106,0.70619,-3.4109,-0.19994,0.37409,0.18391,0.10697,0.67513,-0.16218,0.28015,-0.020559,0.071114,-3.5166,-0.44512,-0.15327,0.67439,-0.24604,-0.016482,0.50548,0.030597,0.26237,-0.58295,0.14628,-0.22843,-0.40163,0.27514,0.43454,-3.3764,-0.16219,0.89788,-0.11965,0.46942,0.12091,-0.23967,0.56897,-0.3548,0.75043,-0.14037,-0.8108,-0.30205,-0.2747,0.96833,0.67558,0.1162,-1.5539,0.47628,-2.3102,0.31134,0.22251,-1.8912,1.0607,0.32801,0.53776,-0.37972,-0.86121,0.00088024,-2.9442,0.13828,0.87358,1.1003,-0.09888,0.11561,-0.61279,-0.36333,-0.56622,-0.27372,-0.27215,0.46844,-0.24373,-0.3298,0.094744,-0.33564,2.9654,-0.26788,0.00069297,0.36874,0.91408,-0.19057,-2.9269,0.3725,0.059054,0.20792,-0.31088,-0.64324,0.22616,0.78152,0.13281,-0.64518,-0.048873,-0.050666
"EEF2",-0.81214,-1.1654,-1.4641,-0.44776,0.12755,0.43559,-0.88665,-0.55677,-0.7985,-0.55553,-0.58938,-0.70637,-0.54409,-1.4559,0.50114,-0.033761,0.94539,0.65626,0.36043,-1.0953,-0.69636,-0.52521,-0.68445,-0.68424,-0.80002,-0.23663,0.76293,-0.61017,-0.343,-0.22675,0.47984,0.0074007,-0.45324,-0.55948,-0.52788,-0.53058,-1.193,-1.2967,-0.26251,-1.2769,-0.81098,-0.30611,-0.854,-0.89442,0.042049,-0.53312,-1.1972,-1.1392,-0.2924,0.15152,-0.24432,-0.55251,-0.99508,-1.0808,-0.29477,-0.95644,-0.62179,-0.24871,-0.13623,-0.25242,-0.46309,-0.52363,-0.61256,-0.52952,-0.7237,-0.33682,-0.99272,-0.32893,0.62419,-1.0456,-1.214,-0.67151,-0.4726,0.04357,-1.0518,-0.6807,-0.3548,-0.62616,-0.34254,-0.41191,-0.24571,0.14764,-0.6947,-0.54916,-0.54671,-0.44983,-1.0238,-0.12449,-0.32485,-0.17788,-0.11786,-1.1529,-0.47201,0.032195,-0.32334,-0.77569,-0.46588,-0.17958,-0.033508,-0.44563,-0.37396,-0.14618,-0.77215,-0.43047,-0.87101,-0.34352
"EEF2K",0.22224,0.15844,-0.44189,-0.1465,-0.74281,-0.044358,1.7329,-0.16292,0.21343,0.26931,0.30155,-0.228,-0.035483,-0.044472,0.18592,0.30694,0.40002,0.3349,0.071326,0.065298,-0.2485,0.41476,0.11493,-0.43935,-0.093708,0.17958,1.478,0.4343,0.19916,-0.48004,0.13727,0.49174,0.90573,0.033727,0.67822,0.60584,0.072704,-0.21867,-0.41727,-0.081157,0.14989,0.18398,0.72018,-0.53243,0.13964,-0.31942,-0.51312,0.42217,0.094525,0.06151,-0.0068857,-0.88621,0.18174,-0.53804,0.76225,-0.026652,1.0605,-0.056094,0.28055,0.21243,0.026888,0.14298,0.043111,0.47075,0.133,-0.038586,0.70808,0.26946,0.79733,-0.06424,-0.43274,0.73773,0.26356,-0.57009,0.64468,0.70297,0.12426,-0.64152,-0.67315,0.0047371,-0.22658,-0.46697,-0.39604,-0.12442,-0.28102,-0.28824,0.28894,-0.27036,0.7063,0.68523,0.70276,-0.1512,0.51317,-0.32856,0.14744,0.37219,-0.30072,-0.4475,0.19182,0.73277,-0.052212,0.17498,-0.051848,0.065757,0.55619,0.61863
"EGFR",-0.53,-0.061209,0.2617,-0.13113,0.031053,0.71146,-0.63928,-0.14628,-0.12375,-0.27834,-0.73997,-0.25581,-0.29517,0.13841,-0.18942,-0.44448,-0.13784,0.56397,-0.4559,-0.13787,-0.60441,-0.15229,-0.36479,-0.52712,0.1594,-0.44325,-0.31647,-0.26741,-0.47128,-0.25055,0.42954,-0.46298,-0.58529,0.21231,-0.58434,-0.6241,-0.4528,-0.20964,0.0059855,-0.056392,-0.10588,-0.51738,-0.53083,0.1978,-0.47488,2.3743,-0.21264,-0.29729,-0.74797,-0.51105,-0.60179,-0.30089,-0.44971,-0.26966,-0.35233,-0.42996,0.10552,-0.19954,-0.41255,-0.46005,-0.44349,-0.59661,-0.07868,-0.45559,-0.17741,0.72877,-0.62071,-0.40246,-0.11436,-0.32047,-0.28885,-0.21588,-0.1892,-0.3944,-0.58626,-0.3593,-0.16987,-0.38041,-0.49527,-0.23516,-0.47836,-0.21153,-0.23507,-0.35009,-0.42941,0.10086,-0.34011,-0.35974,-0.027761,-0.43094,-0.58345,-0.25061,-0.57965,-0.21955,0.24627,-0.34546,-0.39688,-0.067539,0.23855,-0.49465,-0.43806,-0.34343,-0.33609,-0.35342,-0.22267,-0.24811
"EIF4E",-0.20005,-0.096308,-0.42687,0.13767,-0.14883,-0.17433,-0.15969,-0.28693,0.17811,0.092981,-0.059856,0.24339,0.13151,-0.37732,0.13321,0.21418,-0.20564,0.50898,0.15998,-0.056886,0.12049,0.0071285,-0.14288,0.44415,-0.045483,0.059425,-0.37709,-0.13464,0.23113,0.12546,0.007002,0.4036,-0.13568,-0.063314,-0.057108,-0.24735,-0.10714,-0.13524,-0.043022,-0.073117,-0.14722,-0.031992,-0.11862,-0.27061,0.11738,-0.073337,0.16881,-0.030332,-0.15228,-0.16427,-0.26627,0.42272,0.13434,0.34291,-0.0028767,-0.15065,-0.21551,0.24555,0.12707,-0.0035192,0.098151,0.074854,-0.055151,0.00048474,0.35771,0.533,0.20212,-0.26802,0.072961,0.085724,-0.22279,0.12347,-0.095875,0.45078,-0.095502,-0.13891,0.14997,-0.029189,0.64411,0.13926,-0.0021047,0.44839,-0.15724,-0.034964,0.01565,-0.070465,-0.14327,0.35514,-0.11146,0.34464,-0.48488,-0.41978,-0.19882,-0.25413,-0.3471,-0.23131,-0.08107,0.096837,-0.08831,0.069594,0.24819,0.001287,-0.017063,-0.19641,-0.23061,-0.48887
"ESR1",4.557,0.26475,0.90698,-1.202,-0.47509,-1.612,3.722,-1.3111,1.3106,2.0144,3.3002,-0.97369,-1.2472,0.78409,-0.45794,1.7853,2.7245,-1.6315,0.65615,3.3605,3.8573,-1.0827,2.6893,3.6052,1.1863,2.5734,1.5717,0.75619,2.5096,-0.84742,-1.3069,3.9732,1.9971,-0.68461,4.3798,3.4618,2.0867,3.2474,-0.8831,0.54235,1.5868,1.5939,4.1279,-0.77845,1.9122,0.45754,1.8356,2.4182,3.6077,2.0383,3.0212,1.2709,1.9469,1.7603,1.2799,1.6841,1.8267,-1.5715,1.6225,2.3173,3.1336,3.2121,-0.58429,3.4087,1.6502,0.74012,3.2925,-0.44603,-0.15831,1.5762,1.1804,1.99,2.878,1.2809,3.4378,2.8421,-1.8369,1.2771,1.4681,0.29157,3.4065,-1.2143,1.7109,2.6685,1.1362,-1.5441,1.5376,2.1188,-1.137,3.533,2.143,3.1264,3.7152,2.2427,-0.67011,1.207,2.9092,-1.5376,-0.53945,2.2824,1.6999,2.7409,2.8646,2.9869,1.4574,0.88335
"MAPK1",-0.62685,-0.40301,-0.47689,-0.096808,0.026781,-0.15347,-0.35384,-0.33508,-0.17191,0.019081,0.037589,-0.1239,-0.31049,-0.90158,-0.5636,-0.17349,0.59221,0.097238,0.22336,-0.79222,-0.027698,-0.59833,-0.3601,-0.025059,-0.44793,0.20858,0.42196,-0.33147,-0.0156,-0.25411,0.19122,-0.096816,-0.14618,-0.68623,-0.17424,0.12329,0.52417,-0.12264,-0.28307,-0.19405,-0.12414,-0.077647,-0.20926,-0.087685,0.12266,-0.047645,-0.25728,-0.19767,-0.27854,0.23331,-0.049927,-0.69137,-0.49702,-0.01727,-0.64348,-0.71917,-0.6685,-0.10349,-0.17628,-0.038835,-0.21642,0.034648,-0.38553,-0.7161,-0.56248,-0.28343,0.059095,-0.052218,-0.57548,-0.44623,-0.3921,-0.2611,0.36978,0.33965,-0.21249,-0.21537,-0.16109,-0.36513,-0.50136,-0.31745,-0.195,-0.65204,-0.080957,-0.20789,-0.16532,-0.19456,-0.73566,0.0092867,-0.2223,-0.16935,-0.28902,-0.88645,-0.32436,-0.24666,-0.29715,0.25856,-0.18828,-0.18627,-0.16102,0.1933,-0.22788,-0.2855,-0.42037,-0.13509,-0.13905,-0.16373
"FN1",-0.12331,0.19092,0.89614,1.0853,0.51183,1.5654,-0.89989,0.73309,1.3842,1.3629,-0.15746,0.80832,0.57572,1.827,0.12061,0.41657,0.93005,0.38884,0.77464,0.23949,0.47515,-0.12674,1.0966,0.8191,1.1668,0.71953,1.681,0.921,0.61345,1.115,0.84695,0.14331,1.5257,1.6456,0.61182,1.0258,1.3176,1.3188,1.8136,1.2881,1.3991,1.9057,-0.057456,0.64397,1.4402,0.55003,0.30928,2.5831,0.86656,1.8883,1.1919,2.2591,-0.76311,1.1922,0.29766,2.0811,0.33251,0.019053,1.0909,-0.29609,-0.29732,1.1189,1.3256,0.75157,0.51823,2.0607,-0.84188,0.51869,0.25852,1.6226,1.741,1.4369,0.99392,3.2388,1.2936,0.78507,0.53083,1.5682,1.0532,1.7547,1.1343,-0.71358,1.6105,2.4035,2.0635,0.57757,0.65809,1.0813,0.10309,1.1194,0.9923,2.4684,0.74678,1.4292,0.39766,1.8306,0.6759,1.3386,0.75378,1.0447,1.7019,0.46142,1.3957,1.3488,1.8722,0.52277
